               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  73,            0.048586,            0.039565,            0.019213,             0.39398,             0.25348,             0.19469,            0.095856,            0.053032,               0.055,            0.032163,            0.002872,            0.002872,            0.002872
                  74,            0.047651,            0.039978,            0.019812,             0.39624,             0.24224,             0.19337,            0.094461,             0.05216,            0.055175,            0.029266,            0.002773,            0.002773,            0.002773
                  75,            0.046961,            0.040158,            0.018259,             0.37951,             0.22414,             0.18543,             0.09024,              0.0528,            0.055561,            0.031409,            0.002674,            0.002674,            0.002674
                  76,            0.047607,             0.03954,            0.018901,              0.3977,             0.23262,             0.18483,            0.089225,            0.053035,             0.05571,            0.032424,            0.002575,            0.002575,            0.002575
                  77,            0.048091,            0.040097,            0.019008,             0.35679,             0.24193,             0.18607,            0.090714,            0.053124,            0.056031,            0.030444,            0.002476,            0.002476,            0.002476
                  78,            0.046309,             0.04101,            0.018871,             0.38814,             0.24703,             0.19485,            0.094573,            0.052991,            0.056063,            0.028739,            0.002377,            0.002377,            0.002377
                  79,            0.047763,            0.040446,            0.018737,              0.3588,             0.23336,             0.18381,            0.088231,            0.053189,            0.055974,            0.029763,            0.002278,            0.002278,            0.002278
                  80,             0.04617,            0.038662,            0.017861,             0.36455,             0.25278,             0.18327,            0.088623,            0.053009,            0.057072,            0.029344,            0.002179,            0.002179,            0.002179
                  81,            0.046817,            0.039518,            0.017965,             0.35825,             0.24031,             0.18213,            0.088111,            0.052307,            0.056701,            0.030592,             0.00208,             0.00208,             0.00208
                  82,             0.04731,            0.039204,              0.0185,             0.36716,             0.25576,             0.18231,            0.086107,            0.052331,            0.056266,            0.030853,            0.001981,            0.001981,            0.001981
